"Utilities ET", "Herramientas ET"

"Manage Popups Promotions", "Administrar Popups Promoción"
"Popup Manager", "Administrar Popups"
"Add Popup", "Añadir Nuevo Popup"
"Edit Popup", "Modificar el Popup"
"Save Popup", "Guardar el Popup"
"Delete Popup", "Borrar el Popup"
"Popup Information", "Información del popup"
"Popup Content", "Contenido del popup"
"End Date", "Fecha de fin"
"Legal Text", "Condiciones Legales"
"Popup Url", "Url del Popup"
"Coupon", "Cupón"
"Background Image", "Imagen de fondo"
"Popup Link Url", "Enlace del popup"
"Add Newsletter Subscription", "Añadir Suscripción a la Newsletter"
"Allowed extensions : jpg, jpeg, gif, png", "Extensiones permitidas : jpg, jpeg, gif, png"
"Delete Image", "Borrar Imagen"
"Example", "Ejemplo"
"Template Email", "Plantilla del correo electrónico"

"Popup Participant Manager", "Administrar los participantes de los concursos"
"Edit Participant", "Modificar el participante"
"Save Participant", "Guardar el participante"
"Delete Participant", "Borrar el participante"
"Send Mail to Particpant", "Enviar un mail al particpante"

"I suscribe to the newsletter and accept", "Quiero suscribirme y accepto"
"the legal terms", "las bases legales"
"privacy policy", "la Política de privacidad"
"I accept", "Acepto"
"Thank you for your subscription.", "Suscripción exitosa al Boletín de noticias."
"Confirmation request has been sent.", "Tu suscripción al boletín de noticias se ha realizado con éxito. Recuerda validar tu registro en el correo electrónico que recibirás en tu buzón."
"You are already subscribed to our newsletter. Thank you !", "Ya estás suscrito a nuestro boletín de noticias. ¡Gracias!"
"Saving your subscription ...", "Se esta guardando su suscripción ..."

"privacy-policy-link", "privacidad"
