"Utilities ET", "Herramientas ET"

"I suscribe to the newsletter and accept", "Je m'inscris à la newsletter et j'accepte"
"the legal terms", "les bases légales"
"privacy policy", "la politique de confidentialité"
"I accept", "J'accepte"
"Thank you for your subscription.", "Suscripción exitosa al Boletín de noticias."
"Confirmation request has been sent.", "Merci de vous être abonné(e) à notre newsletter. Un email de confirmation vient de vous être envoyé à votre adresse email."
"You are already subscribed to our newsletter. Thank you !", "Vous êtes déjà inscrit à notre newsletter. Merci !"
"Saving your subscription ...", "Enregistrement de votre inscription ..."

"privacy-policy-link", "politique-de-confidentialite"

