"Utilities ET", "Herramientas ET"

"I suscribe to the newsletter and accept", "Mi iscrivo alla newsletter e accetto"
"the legal terms", "i termini legali"
"privacy policy", "l'Informativa Sulla Privacy"
"I accept", "Accetto"
"Thank you for your subscription.", "La tua iscrizione alla newsletter è avvenuta con successo."
"Confirmation request has been sent.", "La tua iscrizione alla newsletter è avvenuta con successo. Per validare l'indirizzo di posta elettronica clicca sul link contenuto nella email che ti abbiamo inviato."
"You are already subscribed to our newsletter. Thank you !", "Sei già iscritto alla nostra newsletter. Grazie!"
"Saving your subscription ...", "Salvare il vostro abbonamento ..."

"privacy-policy-link", "privacidad"
