"Utilities ET", "Herramientas ET"

"I suscribe to the newsletter and accept", "Inscrevo-me na newsletter e aceito"
"the legal terms", "os termos legais"
"privacy policy", "política de privacidade"
"I accept", "Aceito"
"Thank you for your subscription.", "A subscrição à newsletter foi efectuada correctamente."
"Confirmation request has been sent.", "A subscrição à newsletter foi efectuada correctamente. Lembre-se de validar o registo através do e-mail que irá receber na sua caixa de entrada."
"You are already subscribed to our newsletter. Thank you !", "Você já está inscrito na nossa newsletter. Obrigado!"
"Saving your subscription ...", "Salvando sua subscrição ..."

"privacy-policy-link", "privacidad"
